left_input,right_input,time,delta_time
0.000000,0.000000,1304304707.894882,0.040227
0.000000,0.000000,1304304707.935359,0.040476
0.000000,0.000000,1304304707.975682,0.040323
0.000000,0.000000,1304304708.015933,0.040251
0.000000,0.000000,1304304708.056361,0.040429
0.000000,0.000000,1304304708.096845,0.040484
0.000000,0.000000,1304304708.137228,0.040382
0.000000,0.000000,1304304708.177489,0.040261
0.000000,0.000000,1304304708.217815,0.040327
0.000000,0.000000,1304304708.258219,0.040403
0.000000,0.000000,1304304708.298605,0.040387
0.000000,0.000000,1304304708.338892,0.040287
0.000000,0.000000,1304304708.379349,0.040456
0.000000,0.000000,1304304708.419711,0.040363
0.000000,0.000000,1304304708.450065,0.030354
0.000000,0.000000,1304304708.490310,0.040245
0.000000,0.000000,1304304708.540791,0.050480
0.000000,0.000000,1304304708.581153,0.040363
0.000000,0.000000,1304304708.611392,0.030238
0.000000,0.000000,1304304708.661717,0.050326
0.000000,0.000000,1304304708.702096,0.040378
0.000000,0.000000,1304304708.742475,0.040379
0.000000,0.000000,1304304708.782927,0.040452
0.000000,0.000000,1304304708.813161,0.030235
0.000000,0.000000,1304304708.853520,0.040359
0.000000,0.000000,1304304708.893954,0.040433
0.000000,0.000000,1304304708.934291,0.040338
0.000000,0.000000,1304304708.974665,0.040374
0.000000,0.000000,1304304709.015028,0.040363
0.000000,0.000000,1304304709.055420,0.040392
0.000000,0.000000,1304304709.095796,0.040376
0.000000,0.000000,1304304709.136106,0.040309
0.000000,0.000000,1304304709.186576,0.050471
0.000000,0.000000,1304304709.216851,0.030275
0.000000,0.000000,1304304709.257217,0.040366
0.000000,0.000000,1304304709.297437,0.040220
0.000000,0.000000,1304304709.337800,0.040362
0.000000,0.000000,1304304709.378260,0.040461
0.000000,0.000000,1304304709.418511,0.040251
0.000000,0.000000,1304304709.458911,0.040400
0.000000,0.000000,1304304709.499389,0.040478
0.000000,0.000000,1304304709.529682,0.030293
0.000000,0.000000,1304304709.579988,0.050306
0.000000,0.000000,1304304709.610257,0.030269
0.000000,0.000000,1304304709.650560,0.040303
0.000000,0.000000,1304304709.690753,0.040192
0.000000,0.000000,1304304709.731142,0.040389
0.000000,0.000000,1304304709.771469,0.040328
0.000000,0.000000,1304304709.821856,0.050387
0.000000,0.000000,1304304709.852139,0.030283
0.000000,0.000000,1304304709.932704,0.080565
0.000000,0.000000,1304304709.993258,0.060553
0.000000,0.000000,1304304710.043686,0.050429
0.000000,0.000000,1304304710.104214,0.060528
0.000000,0.000000,1304304710.154669,0.050454
0.000000,0.000000,1304304710.204921,0.050252
0.000000,0.000000,1304304710.265332,0.060411
0.000000,0.000000,1304304710.315626,0.050295
0.000000,0.000000,1304304710.366066,0.050439
0.000000,0.000000,1304304710.426636,0.060570
0.000000,0.000000,1304304710.477044,0.050409
0.000000,0.000000,1304304710.537782,0.060738
0.000000,0.000000,1304304710.588276,0.050494
0.000000,0.000000,1304304710.638706,0.050430
0.000000,0.000000,1304304710.699229,0.060522
0.000000,0.000000,1304304710.749884,0.050656
0.000000,0.000000,1304304710.800272,0.050387
0.000000,0.000000,1304304710.850749,0.050478
0.000000,0.000000,1304304710.901088,0.050338
0.000000,0.000000,1304304710.971681,0.070594
0.000000,0.000000,1304304711.032310,0.060628
0.000000,0.000000,1304304711.092882,0.060573
0.000000,0.000000,1304304711.143412,0.050530
0.000000,0.000000,1304304711.203871,0.060458
0.000000,0.000000,1304304711.264396,0.060526
0.000000,0.000000,1304304711.315043,0.050647
0.000000,0.000000,1304304711.365452,0.050408
0.000000,0.000000,1304304711.415968,0.050517
0.000000,0.000000,1304304711.476475,0.060506
0.000000,0.000000,1304304711.536967,0.060492
0.000000,0.000000,1304304711.587405,0.050439
0.000000,0.000000,1304304711.647820,0.060415
0.000000,0.000000,1304304711.708447,0.060626
0.000000,0.000000,1304304711.768981,0.060535
0.000000,0.000000,1304304711.829535,0.060554
0.000000,0.000000,1304304711.889973,0.060438
0.000000,0.000000,1304304711.950469,0.060495
0.000000,0.000000,1304304712.011030,0.060562
0.000000,0.000000,1304304712.061374,0.050344
0.000000,0.000000,1304304712.121892,0.060518
0.000000,0.000000,1304304712.182351,0.060459
0.000000,0.000000,1304304712.252949,0.070598
0.000000,0.000000,1304304712.303400,0.050450
0.000000,0.000000,1304304712.364261,0.060862
0.000000,0.000000,1304304712.424878,0.060617
0.000000,0.000000,1304304712.485456,0.060578
0.000000,0.000000,1304304712.535812,0.050356
0.000000,0.000000,1304304712.586331,0.050519
0.000000,0.000000,1304304712.636765,0.050433
0.000000,0.000000,1304304712.667029,0.030265
0.000000,0.000000,1304304712.697127,0.030098
0.000000,0.000000,1304304712.757999,0.060872
0.000000,0.000000,1304304712.818714,0.060715
0.000000,0.000000,1304304712.869117,0.050403
0.000000,0.000000,1304304712.889181,0.020064
0.000000,0.000000,1304304712.919334,0.030153
0.000000,0.000000,1304304712.959517,0.040182
0.000000,0.000000,1304304713.010006,0.050490
0.000000,0.000000,1304304713.100761,0.090755
0.000000,0.000000,1304304713.151202,0.050441
0.000000,0.000000,1304304713.211583,0.060381
0.000000,0.000000,1304304713.261989,0.050406
0.000000,0.000000,1304304713.322441,0.060452
0.000000,0.000000,1304304713.382967,0.060525
0.000000,0.000000,1304304713.413206,0.030240
0.000000,0.000000,1304304713.453456,0.040250
0.000000,0.000000,1304304713.493744,0.040288
0.000000,0.000000,1304304713.554422,0.060678
0.000000,0.000000,1304304713.615000,0.060577
0.000000,0.000000,1304304713.675572,0.060573
0.000000,0.000000,1304304713.736120,0.060547
0.000000,0.000000,1304304713.796592,0.060472
0.000000,0.000000,1304304713.857170,0.060579
0.000000,0.000000,1304304713.917773,0.060602
0.000000,0.000000,1304304713.968216,0.050444
0.000000,0.000000,1304304714.018584,0.050368
0.000000,0.000000,1304304714.079097,0.060512
0.000000,0.000000,1304304714.139751,0.060655
0.000000,0.000000,1304304714.189920,0.050169
0.000000,0.000000,1304304714.250558,0.060638
0.000000,0.000000,1304304714.300940,0.050381
